DATE,LRUN64TTUSM156S
1985-06-01,7.38662502358984
1985-07-01,7.40508014870084
1985-08-01,7.18807122898374
1985-09-01,7.26759985184239
1985-10-01,7.28800284238718
1985-11-01,7.11829514901164
1985-12-01,7.10881808103075
1986-01-01,6.82019096672215
1986-02-01,7.28007700967783
1986-03-01,7.23532117757162
1986-04-01,7.29095522143222
1986-05-01,7.3435098479772
1986-06-01,7.22613179977591
1986-07-01,7.08653989728553
1986-08-01,6.95672696270104
1986-09-01,7.15550790208664
1986-10-01,7.07324639267929
1986-11-01,7.01848146713918
1986-12-01,6.74635701361618
1987-01-01,6.77985045693206
1987-02-01,6.71319217681946
1987-03-01,6.6742404730672
1987-04-01,6.45140266989852
1987-05-01,6.45170198323542
1987-06-01,6.26413397073365
1987-07-01,6.14758333167914
1987-08-01,6.09250132386539
1987-09-01,6.02193357912252
1987-10-01,6.09354216715506
1987-11-01,5.95666874908375
1987-12-01,5.80418416396388
1988-01-01,5.83948735307886
1988-02-01,5.81268492042119
1988-03-01,5.74895136436992
1988-04-01,5.54370012262779
1988-05-01,5.69169262830996
1988-06-01,5.47039131104554
1988-07-01,5.51505902258731
1988-08-01,5.63774753394006
1988-09-01,5.51732026605902
1988-10-01,5.4433279376892
1988-11-01,5.44845126214819
1988-12-01,5.36539281754566
1989-01-01,5.49762472718383
1989-02-01,5.21842675945691
1989-03-01,5.1010502912131
1989-04-01,5.30442054696485
1989-05-01,5.2616302966503
1989-06-01,5.39192173478748
1989-07-01,5.34074600219013
1989-08-01,5.27543905009505
1989-09-01,5.39510347521094
1989-10-01,5.38649411502538
1989-11-01,5.49334208986826
1989-12-01,5.41946870955226
1990-01-01,5.4384935619813
1990-02-01,5.42441779137716
1990-03-01,5.32499206306337
1990-04-01,5.51535114476484
1990-05-01,5.44670332399822
1990-06-01,5.36337811469527
1990-07-01,5.58924619398547
1990-08-01,5.73251274620239
1990-09-01,5.90218215513005
1990-10-01,5.92172709943228
1990-11-01,6.23887467076201
1990-12-01,6.39518721128085
1991-01-01,6.44325165346026
1991-02-01,6.72422360868209
1991-03-01,6.92067826990175
1991-04-01,6.81899031409797
1991-05-01,7.02001318296948
1991-06-01,6.93746052926377
1991-07-01,6.86080193255375
1991-08-01,6.93471661489427
1991-09-01,6.95827359231676
1991-10-01,7.08356532743996
1991-11-01,7.15036504203727
1991-12-01,7.41222752810356
1992-01-01,7.35963022068717
1992-02-01,7.5998956060166
1992-03-01,7.5557875653049
1992-04-01,7.46303197875142
1992-05-01,7.67557685305312
1992-06-01,7.83456738825572
1992-07-01,7.68854483960901
1992-08-01,7.72164694498527
1992-09-01,7.72927365094556
1992-10-01,7.4950284161395
1992-11-01,7.57941451782904
1992-12-01,7.5951228134384
1993-01-01,7.30468717439864
1993-02-01,7.2750260317617
1993-03-01,7.15588952133615
1993-04-01,7.20386937719501
1993-05-01,7.18350215806013
1993-06-01,7.12043747772676
1993-07-01,6.98415906053973
1993-08-01,6.88780284804479
1993-09-01,6.83297980023847
1993-10-01,6.97404424668444
1993-11-01,6.69995295534984
1993-12-01,6.61572506048198
1994-01-01,6.68748435074168
1994-02-01,6.63251077437962
1994-03-01,6.60803772492608
1994-04-01,6.45815881597205
1994-05-01,6.1290474940587
1994-06-01,6.11314315602769
1994-07-01,6.11546978280403
1994-08-01,6.11011234651671
1994-09-01,5.93507977476443
1994-10-01,5.8644749273653
1994-11-01,5.6407820570968
1994-12-01,5.51038695052668
1995-01-01,5.62774816795657
1995-02-01,5.45536312465971
1995-03-01,5.49694240986242
1995-04-01,5.82973831899649
1995-05-01,5.69263196907834
1995-06-01,5.65100484442318
1995-07-01,5.72916570650314
1995-08-01,5.72577063285668
1995-09-01,5.68176155742427
1995-10-01,5.5983531358695
1995-11-01,5.64204054193786
1995-12-01,5.62630591697554
1996-01-01,5.70771384735354
1996-02-01,5.54201397226365
1996-03-01,5.59668946619572
1996-04-01,5.59042635037067
1996-05-01,5.61039691885842
1996-06-01,5.33755864371952
1996-07-01,5.52168690923646
1996-08-01,5.20572499668781
1996-09-01,5.26189949521799
1996-10-01,5.27433119283773
1996-11-01,5.40784967034487
1996-12-01,5.36581364247906
1997-01-01,5.36693250661987
1997-02-01,5.30316606124143
1997-03-01,5.25152876106403
1997-04-01,5.07932971233192
1997-05-01,4.94173740008349
1997-06-01,5.03002834378485
1997-07-01,4.91658841729271
1997-08-01,4.88496067476303
1997-09-01,4.92636080049432
1997-10-01,4.76354461661446
1997-11-01,4.63605590584859
1997-12-01,4.71734513685915
1998-01-01,4.74664312909563
1998-02-01,4.66814020330524
1998-03-01,4.78358942345072
1998-04-01,4.33654378597186
1998-05-01,4.42211176158602
1998-06-01,4.58088468730026
1998-07-01,4.57508455762941
1998-08-01,4.53795525995345
1998-09-01,4.6009350737329
1998-10-01,4.55808329488288
1998-11-01,4.40001508001395
1998-12-01,4.31948327532408
1999-01-01,4.35786336772086
1999-02-01,4.42697125087273
1999-03-01,4.26073449715114
1999-04-01,4.32478774818227
1999-05-01,4.17856519995526
1999-06-01,4.30169235974019
1999-07-01,4.32889910281817
1999-08-01,4.21861611048042
1999-09-01,4.26162707121978
1999-10-01,4.16026640981969
1999-11-01,4.10088314158676
1999-12-01,4.04537057995018
2000-01-01,4.07123880830828
2000-02-01,4.11344548491484
2000-03-01,4.09729525309956
2000-04-01,3.85111112179115
2000-05-01,4.04414947409677
2000-06-01,4.01008221858335
2000-07-01,4.05809995907358
2000-08-01,4.15276112223517
2000-09-01,3.95457383210661
2000-10-01,3.91594683403371
2000-11-01,3.97858347288506
2000-12-01,3.94520643925642
2001-01-01,4.2568707520179
2001-02-01,4.2666694748847
2001-03-01,4.36563775754708
2001-04-01,4.43884284993791
2001-05-01,4.3950671740658
2001-06-01,4.59389836160865
2001-07-01,4.60394574026997
2001-08-01,4.97845052268807
2001-09-01,5.00526741569265
2001-10-01,5.40797904582268
2001-11-01,5.6042967234397
2001-12-01,5.7541472225897
2002-01-01,5.7874389531438
2002-02-01,5.74041600209163
2002-03-01,5.88322789222907
2002-04-01,6.02284707485898
2002-05-01,5.83818604389516
2002-06-01,5.84205480051987
2002-07-01,5.82337772719274
2002-08-01,5.79836024886824
2002-09-01,5.696867312865
2002-10-01,5.78184020658364
2002-11-01,5.99372436903112
2002-12-01,6.02661287565836
2003-01-01,5.92561368129486
2003-02-01,5.95676553639969
2003-03-01,5.98100466074807
2003-04-01,6.14213357768361
2003-05-01,6.15793485972877
2003-06-01,6.33897228143053
2003-07-01,6.17024454228559
2003-08-01,6.11483497458584
2003-09-01,6.13880776631808
2003-10-01,6.05598809692842
2003-11-01,5.95956756948459
2003-12-01,5.78257218359531
2004-01-01,5.79859129318371
2004-02-01,5.6645360259668
2004-03-01,5.85799769589701
2004-04-01,5.653245295207
2004-05-01,5.63234974817205
2004-06-01,5.64243468762934
2004-07-01,5.5556823939436
2004-08-01,5.44740544747104
2004-09-01,5.43124539324525
2004-10-01,5.51534052203295
2004-11-01,5.45902788690192
2004-12-01,5.45893545052232
2005-01-01,5.30576409949837
2005-02-01,5.43008645537064
2005-03-01,5.26106593029679
2005-04-01,5.23440720491247
2005-05-01,5.19031866611573
2005-06-01,5.08870142057841
2005-07-01,5.02789080904203
2005-08-01,4.95025424239435
2005-09-01,5.10125307995278
2005-10-01,4.9869545116291
2005-11-01,5.13193307801378
2005-12-01,4.93499478845727
2006-01-01,4.75069627023095
2006-02-01,4.86543578503052
2006-03-01,4.75300733563822
2006-04-01,4.81235470006179
2006-05-01,4.70580708759527
2006-06-01,4.69993739996588
2006-07-01,4.80538002031938
2006-08-01,4.69397233029097
2006-09-01,4.59673378005327
2006-10-01,4.4462583737735
2006-11-01,4.5644970345387
2006-12-01,4.52251167408908
2007-01-01,4.66722847950254
2007-02-01,4.60779581407471
2007-03-01,4.44739081993188
2007-04-01,4.56703754535974
2007-05-01,4.49896892090409
2007-06-01,4.60929169733646
2007-07-01,4.69190440389538
2007-08-01,4.66688733888548
2007-09-01,4.78116431002494
2007-10-01,4.75918129682222
2007-11-01,4.76729159211724
2007-12-01,5.04936531864392
2008-01-01,4.99136057110826
2008-02-01,4.92592154186237
2008-03-01,5.11078859133474
2008-04-01,5.06128049036436
2008-05-01,5.53551986213552
2008-06-01,5.63020531948715
2008-07-01,5.87950074163117
2008-08-01,6.15632957612232
2008-09-01,6.27472323572361
2008-10-01,6.59313610610853
2008-11-01,6.90484714131125
2008-12-01,7.46575668632472
2009-01-01,7.91717687983497
2009-02-01,8.40630153040958
2009-03-01,8.84352047618272
2009-04-01,9.14274737744971
2009-05-01,9.5096729867406
2009-06-01,9.51246200209342
2009-07-01,9.50940373734279
2009-08-01,9.71184221463328
2009-09-01,9.97582284719952
2009-10-01,10.1632456595953
2009-11-01,10.0105690201858
2009-12-01,10.0837118937905
2010-01-01,9.89042503510313
2010-02-01,9.91356274331057
2010-03-01,10.0367546777515
2010-04-01,10.1384845160577
2010-05-01,9.85448124128318
2010-06-01,9.51523863005895
2010-07-01,9.50553395790378
2010-08-01,9.61934980728306
2010-09-01,9.67054453385655
2010-10-01,9.66602002055628
2010-11-01,9.86491236758477
2010-12-01,9.56537701649555
2011-01-01,9.22447081706591
2011-02-01,9.14548560211741
2011-03-01,9.09306136239044
2011-04-01,9.26392637363266
2011-05-01,9.20373421014235
2011-06-01,9.16508352566336
2011-07-01,9.04825269300754
2011-08-01,9.09565390499192
2011-09-01,9.17449313121472
2011-10-01,9.00540479062606
2011-11-01,8.70584444528967
2011-12-01,8.69938714708852
2012-01-01,8.35131645133302
2012-02-01,8.37297261391858
2012-03-01,8.31310114953162
2012-04-01,8.29243070516744
2012-05-01,8.30991720815847
2012-06-01,8.21686295798185
2012-07-01,8.23059751549733
2012-08-01,8.15091807400556
2012-09-01,7.91131295459149
2012-10-01,7.99785371453528
2012-11-01,7.83813114757721
2012-12-01,8.06335877818881
2013-01-01,8.01990328920191
2013-02-01,7.76435924358389
2013-03-01,7.57811569210957
2013-04-01,7.66446723393083
2013-05-01,7.70703885819432
2013-06-01,7.66031552855673
2013-07-01,7.46589787694918
2013-08-01,7.37346228257936
2013-09-01,7.35134799286448
2013-10-01,7.38822195107028
2013-11-01,7.07382354629058
2013-12-01,6.83310808898532
2014-01-01,6.64696399602562
2014-02-01,6.77667403028195
2014-03-01,6.77031400109356
2014-04-01,6.32688878139621
2014-05-01,6.3976002486412
2014-06-01,6.18019778883782
2014-07-01,6.2853844329426
2014-08-01,6.17023563793356
2014-09-01,6.02374890196947
2014-10-01,5.87424459909138
2014-11-01,5.87193480846896
2014-12-01,5.67826583808485
2015-01-01,5.74316948797333
2015-02-01,5.55707629813037
2015-03-01,5.54262764936442
2015-04-01,5.51768847306452
2015-05-01,5.67988490860761
2015-06-01,5.35713168954802
2015-07-01,5.34782074333281
2015-08-01,5.14004537702625
2015-09-01,5.06965927257748
2015-10-01,5.16450935397487
2015-11-01,5.14952318557697
2015-12-01,5.10151893334738
2016-01-01,4.95604792723526
2016-02-01,4.98790650328038
2016-03-01,5.09442760453828
2016-04-01,5.09529907922377
2016-05-01,4.88936429545308
2016-06-01,4.96606684343871
2016-07-01,4.904096042261
2016-08-01,4.93098613673862
2016-09-01,5.01560574297331
2016-10-01,4.94667191654307
2016-11-01,4.7261914634056
2016-12-01,4.74787962363143
2017-01-01,4.81658476473427
2017-02-01,4.68116734353433
2017-03-01,4.48232446583557
2017-04-01,4.42454013106922
2017-05-01,4.4056910526608
2017-06-01,4.37960072159005
2017-07-01,4.41852958411827
2017-08-01,4.46538315746013
2017-09-01,4.25690983068223
2017-10-01,4.11909870729991
2017-11-01,4.19080393798948
2017-12-01,4.14425605291362
2018-01-01,4.19138743727991
2018-02-01,4.18068468933645
2018-03-01,4.09054946198821
2018-04-01,4.01747232921388
2018-05-01,3.8323807281951
2018-06-01,4.06193235440356
